Source_ID,From,Date,Place-from,To,Place_to
1,Johann Christian Bach,"May 20, 1772",London,Franz Xaver Mozart,Salzburg
10,Lorenzo Da Ponte,"January 14, 1771",London,Franz Xaver Mozart,Salzburg
9,Michael Puchberg,"December 20, 1776",Milan,Franz Xaver Mozart,Rome
1,Johann Christian Bach,"May 19, 1774",Munich,Maria Anna Mozart,Milan
12,Gottfried van Swieten,"September 12, 1772",Munich,Maria Anna Mozart,Prague
12,Gottfried van Swieten,"January 30, 1776",Salzburg,Maria Anna Mozart,London
15,Joseph Haydn,"October 07, 1777",Salzburg,Maria Anna Mozart,Vienna
4,Leopold Mozart,"February 14, 1776",Paris,Maria Anna Mozart,Rome
1,Johann Christian Bach,"May 14, 1775",Vienna,Leopold Mozart,London
3,Constanze Mozart,"July 09, 1770",Rome,Leopold Mozart,Vienna
5,Baron von Grimm,"February 28, 1779",Paris,Leopold Mozart,Prague
7,Maria Anna Mozart,"July 11, 1770",London,Leopold Mozart,Salzburg
11,Antonio Salieri,"March 03, 1779",London,Leopold Mozart,Salzburg
2,Franz Xaver Mozart,"May 14, 1773",Paris,Leopold Mozart,Rome
2,Franz Xaver Mozart,"May 20, 1773",Paris,Leopold Mozart,Rome
1,Johann Christian Bach,"March 07, 1773",Vienna,Lorenzo Da Ponte,Salzburg
1,Johann Christian Bach,"August 11, 1770",Verona,Lorenzo Da Ponte,Vienna
3,Constanze Mozart,"February 19, 1778",London,Lorenzo Da Ponte,Paris
5,Baron von Grimm,"September 30, 1771",Salzburg,Lorenzo Da Ponte,Paris
13,Emperor Joseph II,"November 11, 1777",Verona,Lorenzo Da Ponte,London
12,Gottfried van Swieten,"December 27, 1771",Milan,Lorenzo Da Ponte,Verona
9,Michael Puchberg,"October 09, 1778",Munich,Lorenzo Da Ponte,Milan
2,Franz Xaver Mozart,"May 26, 1774",Paris,Lorenzo Da Ponte,Munich
1,Johann Christian Bach,"October 13, 1772",Verona,Wolfgang Amadeus Mozart,Munich
1,Johann Christian Bach,"May 06, 1778",Vienna,Wolfgang Amadeus Mozart,London
3,Constanze Mozart,"February 28, 1773",Salzburg,Wolfgang Amadeus Mozart,London
5,Baron von Grimm,"May 23, 1779",Munich,Wolfgang Amadeus Mozart,Salzburg
5,Baron von Grimm,"May 19, 1773",Salzburg,Wolfgang Amadeus Mozart,Paris
11,Antonio Salieri,"April 18, 1779",Vienna,Wolfgang Amadeus Mozart,Verona
9,Michael Puchberg,"October 13, 1777",Munich,Wolfgang Amadeus Mozart,Milan
2,Franz Xaver Mozart,"November 19, 1774",Verona,Wolfgang Amadeus Mozart,Munich
15,Joseph Haydn,"August 27, 1773",Munich,Wolfgang Amadeus Mozart,Paris
14,Abbé Stadler,"July 31, 1778",London,Wolfgang Amadeus Mozart,Verona
14,Abbé Stadler,"April 07, 1778",Vienna,Wolfgang Amadeus Mozart,Vienna
1,Johann Christian Bach,"June 03, 1770",Rome,Joseph Haydn,Salzburg
5,Baron von Grimm,"December 12, 1773",Rome,Joseph Haydn,Munich
11,Antonio Salieri,"July 15, 1776",Salzburg,Joseph Haydn,Salzburg
11,Antonio Salieri,"August 26, 1774",Paris,Joseph Haydn,Vienna
9,Michael Puchberg,"December 27, 1771",Paris,Joseph Haydn,Munich
4,Leopold Mozart,"May 01, 1774",Verona,Joseph Haydn,Verona
6,Wolfgang Amadeus Mozart,"May 04, 1771",Rome,Joseph Haydn,Munich
6,Wolfgang Amadeus Mozart,"June 11, 1775",Milan,Joseph Haydn,London
14,Abbé Stadler,"January 30, 1777",Munich,Joseph Haydn,Vienna
1,Johann Christian Bach,"December 16, 1771",Rome,Emperor Joseph II,Rome
3,Constanze Mozart,"November 23, 1770",Milan,Emperor Joseph II,Rome
12,Gottfried van Swieten,"August 23, 1775",Milan,Emperor Joseph II,Salzburg
2,Franz Xaver Mozart,"March 10, 1773",Salzburg,Emperor Joseph II,Paris
2,Franz Xaver Mozart,"November 26, 1775",Munich,Emperor Joseph II,Paris
4,Leopold Mozart,"November 17, 1779",Munich,Emperor Joseph II,Verona
3,Constanze Mozart,"July 31, 1775",Munich,Michael Puchberg,Rome
10,Lorenzo Da Ponte,"May 05, 1777",Vienna,Michael Puchberg,Milan
10,Lorenzo Da Ponte,"October 14, 1778",Verona,Michael Puchberg,Munich
8,Maria Theresia Paradis,"October 11, 1773",Paris,Michael Puchberg,Rome
13,Emperor Joseph II,"March 14, 1773",Paris,Michael Puchberg,Milan
12,Gottfried van Swieten,"March 27, 1778",Paris,Michael Puchberg,Milan
15,Joseph Haydn,"March 31, 1778",London,Michael Puchberg,Salzburg
